PROVIDER,CITY,COUNTRY
CABINET DENTAIRE NIANGORAN,"ZONE 4, NON LOIN DE LA PHARMACIE PERUVIA",CÔTE D'IVOIRE
CABINET DENTAIRE OASIS,"YOPOUGON KENEYA,BVD PRINCIPAL, AU CENTRE MEDICAL OASIS 2E ETAGE FACE A LA CIE.",CÔTE D'IVOIRE
CABINET DENTAIRE ODONTIS,MARCORY ZONE 4 AU SEIN DE LA POLYCLINIQUE LES GRACES,CÔTE D'IVOIRE
CABINET DENTAIRE PENIEL,IMM THOMASSET 2EME ETAGE,CÔTE D'IVOIRE
CABINET DENTAIRE PHINA,"II PLATEAUX CARREFOUR LAS PALMAS, IMM SICOGI, BAT IV 1ER ETAGE PORTE 88",CÔTE D'IVOIRE
CABINET DENTAIRE RUE LUMIERE,"ZONE 4C,119 RUE LOUIS LUMIERE",CÔTE D'IVOIRE
CABINET DENTAIRE SAINT JOSEPH SARL,"ANGRE 8E TRANCHE, RUE DES BANQUES 1ER ETAGE IMMEUBLE TEILLA",CÔTE D'IVOIRE
CABINET DENTAIRE SAINT PAUL,"PLATEAU NON LOIN DE LONGCHAMP, ENTRE L IMPRIMERIE NATIONALE ET LES FINANCES AU SEIN DE L ESPACE MEDICAL ST PAUL",CÔTE D'IVOIRE
CABINET DENTAIRE SAINTE FAMILLE / RIVIERA 3,"RIVIERA III ALLABRA, ZONE CAP NORD EN FACE DE L EGLISE",CÔTE D'IVOIRE
CABINET DENTAIRE SAINTE RITA DE CASCIA,"YOP CARREFOUR KOUDOUS ,PORT BOUËT II SUR L ALIGNEMENT DU KOUDOUS",CÔTE D'IVOIRE
CABINET DENTAIRE SANGARET,"AVENUE CHARDY PLATEAU ,IMM SCIAC ,EN FACE DE LA PH CHARDY",CÔTE D'IVOIRE
CABINET DENTAIRE SATY,"ZONE INDUSTRIELLE, AU DESSUS DE LA SIDAM",CÔTE D'IVOIRE
CABINET DENTAIRE ST JEAN DE COCODY,"COCODY CENTRE, A QUELQUES METRES DE LA PAROISSE ST JEAN, SUR LA VOIE MENANT A LA MAISON DU PARTI",CÔTE D'IVOIRE
CABINET DENTAIRE ST JEAN-BOSCO,AU FEU DE ST JEAN BOSCO JUSTE AU FEU ,CÔTE D'IVOIRE
CABINET DENTAIRE ST MICHEL 2 PLATEAUX,PRES DE LA PHARMACIE DES II PLATEAUX,CÔTE D'IVOIRE
CABINET DENTAIRE STE MARIE/TREICHVILLE,"BVD VGE TREICHVILLE, REZ DE CHAUSSEE,IMM LA BALANCE FACE SOLIBRA",CÔTE D'IVOIRE
CABINET DENTAIRE STE THERESE,"MARCORY, EN FACE DE L EGLISE STE THERESE",CÔTE D'IVOIRE
CABINET DENTAIRE TRAORE,"RUE DU COMMERCE ,IMM BORIZA ,EN FACE DE LA PH DU COMMERCE",CÔTE D'IVOIRE
CENTRE MEDICO-DENTAIRE LES ELIAS DU JARDIN SARL,COCODY RIVIERA II LES JARDINS,CÔTE D'IVOIRE
CLINIQUE DENTAIRE LA PITIE,CENTRE COMMERCIAL MOFAITAI,CÔTE D'IVOIRE
CLINIQUE DENTAIRE ROSYL,"QUARTIER NITORO, EN FACE DE LA CLINIQUE DES ROCHERS",CÔTE D'IVOIRE
FERZLE MICKY C/ CABINET DENTAIRE DE LA GALERIE ZEINA,"MARCORY RUE DE LA PAIX, CLINIQUE LA POLYMED",CÔTE D'IVOIRE
PRO-ZIRCON (LABORATOIRE DE PROTHESE DENTAIRE),MARCORY GFCI,CÔTE D'IVOIRE
CABINET D ORTHOPHONIE,"RIVIERA, CITE ALLABRA PRES DE L ECOLE EZETEC VILLA 57",CÔTE D'IVOIRE
CABINET MEDICAL DIVINE GRACE,A RENSEIGNER,CÔTE D'IVOIRE
CABINET MEDICAL LE BELIER,MARCORY VGE,CÔTE D'IVOIRE
CABINET DE CARDIOLOGIE /DR JACQUES BURDIN,"PLATEAU, RESIDENCE DELAFOSSE, RUE DAUDET",CÔTE D'IVOIRE
CENTRE MEDICAL CARDIO-RESPIRATOIRE LES JARDINS,"RUE DES JARDINS, VALLON NON LOIN DE CHEZ PACO, ENTRE LA CLINIQUE LES BLEUETS ET LE RESTAURANT LA NUIT DU SAIGON",CÔTE D'IVOIRE
CENTRE MEDICO-CARDIOLOGIQUE MAVOR,"ADJAME, DALLAS",CÔTE D'IVOIRE
NOVA CARDIOLOGIE,PLATEAU AU SEIN DE LA POLYCLINIQUE DE L INDENIE,CÔTE D'IVOIRE
CLINIQUE LES JARDINS D'EDEN,COCODY II PLATEAUX RUE DES JARDINS NON LOIN DU CARREFOUR DUNCAN 27 BP 654 ABJ 27,CÔTE D'IVOIRE
CSU DE KOUDOULILE (LAKOTA),LAKOTA,CÔTE D'IVOIRE
CENTRE UNIVERSITAIRE ET HOSPITALIER (CHU) DE COCODY,COCODY,CÔTE D'IVOIRE
PMI DE DAOUKRO,DAOUKRO,CÔTE D'IVOIRE
HOPITAL GENERAL DE TANDA,TANDA,CÔTE D'IVOIRE
HOPITAL GENERAL DE MAFERE,MAFERE,CÔTE D'IVOIRE
CENTRE MEDICAL OASIS,ABJ,CÔTE D'IVOIRE
HOPITAL GENERAL D'ISSIA,ISSIA,CÔTE D'IVOIRE
CENTRE HOSPITALIER ET REGIONAL DE MAN,MAN,CÔTE D'IVOIRE
ESPACE SANTE MON ENFANT MON CŒUR,ABJ,CÔTE D'IVOIRE
CHR ABENGOUROU,ABENGOUROU,CÔTE D'IVOIRE
NOUVELLE CLINIQUE MEDICALE GRANDE ETOILE AZITO SARL,YOPOUGON AZITO NON LOIN DU TERMINUS 27,CÔTE D'IVOIRE
HOPITAL GENERAL DE FRESCO,FRESCO,CÔTE D'IVOIRE
HOPITAL GENERAL DE M’BENGUE,M'BENGUE,CÔTE D'IVOIRE
CLINIQUE SAINT JOSUE,BOUAKE QUARTIER AIR FRANCE 2,CÔTE D'IVOIRE
SOCIETE MEDICAL ANDRE FOURCHE,YOPOUGON GFCI BEL AIR,CÔTE D'IVOIRE
CLINIQUE MEDICALE INAYA,COCODY ANGRE DJOGROBITE,CÔTE D'IVOIRE
CENTRE MEDICAL AIGLE ROYAL,ABIDJAN COCODY DANGA,CÔTE D'IVOIRE
CLINIQUE MEDICALE ESPOIR DE DALOA,DALOA QUARTIER TAZIBOUO,CÔTE D'IVOIRE
HOPITAL GENERAL DE GAGNOA,GAGNOA,CÔTE D'IVOIRE
CABINET MEDICAL MEDICALIS,PLATEAU RUE DU COMMERCE,CÔTE D'IVOIRE
CENTRE MEDICAL EMMANUEL,ZUENOULA QUARTIER AVIATION,CÔTE D'IVOIRE
A NE PAS UTILISER,,CÔTE D'IVOIRE
CLINIQUE CYGOF,"SAN PEDRO QUARTIER NITORO
01 BP 1903 SAN PEDRO",CÔTE D'IVOIRE
CENTRE MEDICAL NOA AARON,"PORT BOUET GONZAGUEVILLE
2724578250",CÔTE D'IVOIRE
CLINIQUE MEDICALE LA REFERENCE SARL,SONGON ABADJIN KOUTE EXTENTION,CÔTE D'IVOIRE
CENTRE MEDICAL SACRE COEUR,SINFRA,CÔTE D'IVOIRE
CENTRE MEDICAL SAINTE ASTRIDE,MAN,CÔTE D'IVOIRE
CENTRE MEDICAL DON DE DIEU,SOUBRE QUARTIER GALEA,CÔTE D'IVOIRE
GROUP MEDICAL BIO-INDENIE,ABENGOUROU QUARTIER PLATEAU,CÔTE D'IVOIRE
SOCIETE MEDICALE LES ANGES,"BINGERVILLE, IMMEUBLE DOLONA",CÔTE D'IVOIRE
CENTRE UNIVERSITAIRE ET HOSPITALIER (CHU) DE TREICHVILLE,CHU DE TREICHVILLE,CÔTE D'IVOIRE
CENTRE MEDICAL SADIO KONE,KORHOGO QUARTIER SOBA BATIMENT SADIO KONE,CÔTE D'IVOIRE
CENTRE NATIONAL D’ONCOLOGIE MEDICALE ET RADIOTHERAPIE ALASSANE OUATTARA ( C.N.R.A.O ),DANS L'ENCEINTE DU CHU DE COCOCY,CÔTE D'IVOIRE
NOUVELLE CLINIQUE MARIE-ELIANA,"BINGERVILLE – M’BATTO BOUAKE
5700 MÈTRES APRÈS LE NOUVEAU PALAIS DE JUSTICE",CÔTE D'IVOIRE
CENTRE MEDICAL LE MONT SINAI,RIVIERA PALMERAIE APRES BARRAGE NON LOIN DE SOCOPRIX,CÔTE D'IVOIRE
SERVICE MEDICAL LOXEA (SARI SIEGE),TREICHVILLE RUE DE L’INDUSTRIE,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE MARIE / AGNIBILEKRO,AGNIBILEKRO DERRIERE LYCEE PRES DU CHATEAU D'EAU,CÔTE D'IVOIRE
CLINIQUE FATIMA DES 4 ETAGES,ABOBO SOGEFIHA,CÔTE D'IVOIRE
HOPITAL METHODISTE DABOU,DABOU,CÔTE D'IVOIRE
CLINIQUE ESPACE MEDICAL ATTOBAN,"RIVIERA ATTOBAN
2722515440",CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINTE MADELEINE ( C.M.S.M ),BOUAKE COMMERCE AVENUE JACQUES AKA EN FACE DE LA RTI,CÔTE D'IVOIRE
CENTRE MEDICAL HL. PAUL,MODESTE GRAND BASSAM,CÔTE D'IVOIRE
CLINIQUE MEDICALE GRANDE ETOILE,YOPOUGON MAROC ANTENNE,CÔTE D'IVOIRE
CENTRE MEDICAL SION,ABIDJAN YOPOUGON SIDECI LEM,CÔTE D'IVOIRE
CENTRE MEDICAL LA RETINE DU GBEKE,BOUAKE,CÔTE D'IVOIRE
CLINIQUE JOUVENET,"6 SQUARE JOUVENET - 75016 PARIS, FRANCE",CÔTE D'IVOIRE
HOPITAL GENERAL DE MADINANI,ODIENE MADINANI,CÔTE D'IVOIRE
PERSEUS MINING FIMBIASSO CLINIC,TENGRELA FIMBIASSO,CÔTE D'IVOIRE
GRANDE CLINIQUE DU NORD,KORHOGO,CÔTE D'IVOIRE
PERSEUS MINING SISSINGUE CLINIC,TENGRELA,CÔTE D'IVOIRE
CENTRE MEDICO CHIRURGICAL LES OASIS,GRAND BASSAM QUARTIER IMPERIAL,CÔTE D'IVOIRE
LA GRANDE CLINIQUE STE PAULINE OUME,OUME QUARTIER CACAOIER,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINT RAPHAEL DE HIRE,"HIRE, QUARTIER CENTRAL",CÔTE D'IVOIRE
HILDA MEDICAL ASSISTANCE SERVICES SARL,ANAYAMA ALLOKOI KILOMETRIQUE 24 EN FACE DU PESAGE,CÔTE D'IVOIRE
CENTRE MEDICAL MARGUERITE MARIE,YOPOUGON MAROC KIMI,CÔTE D'IVOIRE
CENTRE MEDICAL LES ABES,FEK KESSE-BINGERVILLE,CÔTE D'IVOIRE
ETABLISSEMENT PUBLIQUE HOPITALIER DEPARTEMENTAL DE ZOUAN-HOUNIEN,ZOUAN-HOUNIEN,CÔTE D'IVOIRE
CLINIQUE MEDICALE LES OLIVIERS DE TABOU,TABOU QUARTIER COMMERCE,CÔTE D'IVOIRE
CENTRE MEDICAL LES ROCHERS DE BUYO,"BUYO CIE EXTENSION
",CÔTE D'IVOIRE
CLINIQUE NOUVELLE ZONE INDUSTRIELLE,"ABIDJAN, ANYAMA ALLOKOI PK23",CÔTE D'IVOIRE
ONG LES FLAMBOYANTS,BONDOUKOU ROUTE ABEMAN,CÔTE D'IVOIRE
HOPITAL GENERAL DE NIAKARA ,NIAKARA,CÔTE D'IVOIRE
HOPITAL GENERAL DE OUME,OUME,CÔTE D'IVOIRE
HOPITAL GENERAL DE DABAKALA,DABAKALA,CÔTE D'IVOIRE
CENTRE MEDICAL INDENIE DJUABLIN,ABENGOUROU QUARTIER PLATEAU,CÔTE D'IVOIRE
CLINIQUE MEDICALE VIE,"YOPOUGON PORT-BOUET II
(07 72 88 88 44)",CÔTE D'IVOIRE
CLINIQUE MERE MARIE MISERICORDE,"KM 17, ROUTE DE DABOU, 100 MÈTRES À DROITE APRÈS L'ÉGLISE SAINT BERNARD, ENTRE LE CARREFOUR INSTITUT PASTEURS ET LE CARREFOUR ANTENNE.",CÔTE D'IVOIRE
SOCIETE MEDICALE DE SONGON,SONGON ADIAPOTO,CÔTE D'IVOIRE
CENTRE MEDICO-ESTHETIQUE NOVA,2 PLATEAUX RUE J82 PROCHE JARDYLAND,CÔTE D'IVOIRE
CIMEDIC,MARCORY ZONE 3 RUE CLEMENT ADER,CÔTE D'IVOIRE
CLINIQUE TEST PROD,PLATEAU,CÔTE D'IVOIRE
CLINIQUE MEDICALE AVENUE CAZA,ABOBO AVENUE CAZA,CÔTE D'IVOIRE
CENTRE MEDICAL PALMERAIE SARL,COCODY RIVIERA PALMERAIE,CÔTE D'IVOIRE
ETABLISSEMENT PUBLIQUE HOSPITALIER DEPARTEMENTAL ZOUAN-HOUNIEN,ZOUAN-HOUNIEN,CÔTE D'IVOIRE
CENTRE MEDICAL TRINITA,TENGRELA,CÔTE D'IVOIRE
CENTE MEDICAL RADIUS,"BINGERVILLE,FEH KESSE ",CÔTE D'IVOIRE
CLINIQUE MEDICALE DE LOURDES SARL,ROUTE D'ABATTA JUSTE APRES MONDIAL BETON,CÔTE D'IVOIRE
CLINIQUE MEDICO-CHIRURGICALE SIRINE,COCODY ANGRÉ NOUVEAU CHU,CÔTE D'IVOIRE
HOPITAL GENERAL DE KANI,KANI,CÔTE D'IVOIRE
CENTRE MEDICAL VICTORIA,PORT BOUET GONZAGUEVILLE,CÔTE D'IVOIRE
CENTRE MEDICAL SMIRES,COCODY ANGRE DJIBI 1,CÔTE D'IVOIRE
CENTRE MEDICAL ALENA,MARCORY RESIDENTIEL,CÔTE D'IVOIRE
CLINIQUE MEDICALE DE DIANRA,DIANRA QUARTIER GBATOSSO,CÔTE D'IVOIRE
CENTRE MEDICAL PHILADELPHIE,RIVIERA PALMERAIE CITE DU BONHEUR,CÔTE D'IVOIRE
LA CLINIQUE DU PONT DE GAULLE ,TREICHVILLE AVENUE 01 PONT DE GAULLE,CÔTE D'IVOIRE
GROUPE MEDICAL EL RAPHA,DANANE,CÔTE D'IVOIRE
CENTRE MEDICAL ELISHAMA DE ZOUAN-HOUNIEN,QUARTIER,CÔTE D'IVOIRE
CLINIQUE YEBARTH DE GYNECOLOGIE OBSTETRIQUE ET FERTILITE,SAN PEDRO QUARTIER NITORO,CÔTE D'IVOIRE
CENTRE MEDICAL LE LOTUS DU NIRVANA,ZOUAN-HOUNIEN,CÔTE D'IVOIRE
CENTRE MEDICAL D'OPHTALMOLOGIE IRIS,CITE NITORO SAN-PEDRO,CÔTE D'IVOIRE
CENTRE MEDICAL BELLEVUE,COCODY BLV ARSENE USHER,CÔTE D'IVOIRE
CENTRE MEDICAL AKANDJE,BINGERVILLE ROUTE AKANDJE,CÔTE D'IVOIRE
CLINIQUE METROPOLITAINE D'ABIDJAN,7IEME TRANCHE COCODY II PLATEAUX,CÔTE D'IVOIRE
POLYCLINIQUE GMP,PLATEAU AVENUE LAMBLIN APRES CNPS,CÔTE D'IVOIRE
SPV CANCEROLOGIE,"BINGERVILLE, ROUTE DE M'BATO BOUAKE JUSTE APRES ABEILLE BETON",CÔTE D'IVOIRE
HOPITAL DE L'HUMANITE SARL,YOPOUGON SIDECI CARREFOUR SGBCI,CÔTE D'IVOIRE
GROUPE MEDICO-CHIRURGICAL ARCHE DE ZOHE,"DIVO, QUARTIER KONANKRO-VATICAN LOT N° 332, ILOT N° 28",CÔTE D'IVOIRE
SARL CLINIQUE MEDICALE SOLIDARITE D'ABIDJAN,GRAND-BASSAM QUARTIER MODESTE CARREFOUR NOUVEAU GOUDRON DANS LA CITE,CÔTE D'IVOIRE
CLINIQUE MEDICALE MASSA,ABOBO QUARTIER PK18 CARREFOUR CMA FACE PHARMACIE ESPERANCE,CÔTE D'IVOIRE
CENTRE DE CONSULTATIONS ET DE TRAITEMENTS ODONTO-STOMATOLOGIQUES,COCODY CHU,CÔTE D'IVOIRE
CLINIQUE LA RENAISSANCE,"SAN-PEDRO, CITE QUARTIER PORO À 100M DE L'AGENCE ORANGE",CÔTE D'IVOIRE
CLINIQUE MEDICALE ANGEALEX SARL,DALOA QUARTIER EVECHE,CÔTE D'IVOIRE
CENTRE MEDICAL PROSPERITE,ABOBO SOGEFIHA CARREFOUR JOKE FACE BICICI,CÔTE D'IVOIRE
CENTRE MEDICAL FAVEUR,ABOBO QUARTIER PK18 EN FACE DU COLLEGE CMA,CÔTE D'IVOIRE
CENTRE MEDICAL DU DJIBOUA,DIVO QUARTIER PLATEAU FACE A LA CIE,CÔTE D'IVOIRE
GROUPE MEDICAL SAINTE JEANNE ELEONORE,YOPOUGON NIANGON SUD,CÔTE D'IVOIRE
CLINIQUE MEDICALE SAINT VIATEUR,"COCODY RIVIERA SIDECI, ANCIENNE ROUTE DE BINGERVILLE PRES DE L’ANCIEN CAMP MILITAIRE D’AKOUEDO",CÔTE D'IVOIRE
AGNEBY ESPACE MEDICAL,"AGBOVILLE,QUARTIER RESIDENTIEL ANCIEN DANS LE DOS DE LA GENDARMERIE.",CÔTE D'IVOIRE
ALTHEA CENTRE MEDICAL,RIVIERA FAYA- ROUTE D ABATTA FACE CITE SYNATRESOR,CÔTE D'IVOIRE
C MEDICAL MAGALI,"RUE DES BANQUES, IMM DAUDET 1ER ETAGE, 13 AVENUE ANOMA RUE A47",CÔTE D'IVOIRE
CAB MEDICAL STE THERESE / PLATEAU,A RENSEIGNER,CÔTE D'IVOIRE
CABINET DE CARDIOLOGIE SAINTE EUNICE,"BASSAM, A COTE DE FAJUL SINZALA HOTEL EN FACE DE CELPAID SUR LA ROUTE INTERNATIONALE",CÔTE D'IVOIRE
CABINET MEDICAL DE KOUMASSI,"GRAND CARREFOUR KOUMASSI, FACE AU MARCHE DJE KONAN AU-DESSUS DE LA PHARMACIE DE KOUMASSI",CÔTE D'IVOIRE
CABINET MEDICAL FEMINA,2PLATEAUX NON LOIN DE LA GRANDE PH DES IIPLATEAUX BD LATRILLE,CÔTE D'IVOIRE
CABINET MEDICAL LES ORCHIDEES / MARCORY,MARCORY; BIETRY RUE DES MAJORETTES,CÔTE D'IVOIRE
CABINET MEDICAL NEVROGLIE,RUE LES FROMAGERS NON LOIN DE LA POLYCLINIQUE INDENIE,CÔTE D'IVOIRE
CABINET MEDICAL SUCCAR,26 AV CHARDY PLATEAU,CÔTE D'IVOIRE
CABINET MEDICO-CHIRURGICAL SAINTE HENRIETTE,QUARTIER RESIDENTIEL,CÔTE D'IVOIRE
CENTRE DE PREVENTION DES CANCERS CUTANES D ABIDJAN,"II PLATEAUX-SIDECI, NON LOIN DU CARREFOUR DUNCAN VILLA 60122",CÔTE D'IVOIRE
CENTRE DE SANTE CRS DE DIVO,DIVO,CÔTE D'IVOIRE
CENTRE DE SANTE DE LA POLICE DALOA,DALOA,CÔTE D'IVOIRE
CENTRE DE SANTE DE LA POLICE NATIONALE DE BONDOUKOU,"BONDOUKOU, SITUE AU SEIN DE GMI, ANCIENNE BASE DE L ONUCI",CÔTE D'IVOIRE
CENTRE D EXCELLENCE MEDICAL XMED,"BINGERVILLE, CARREFOUR CIE",CÔTE D'IVOIRE
CENTRE D IMAGERIE MEDICALE ET D ANALYSES DE BOUAKE (CIMAB),"BOUAKE,QUARTIER COMMERCE NON LOIN DU PALAIS DE JUSTICE.",CÔTE D'IVOIRE
CENTRE HEMODIALYSE LATRILLE,"COCODY, 5 BOULEVARD LATRILLE ENTRE L'HOTEL COMMUNAL DE COCODY ET L'HOTEL IVOIRE",CÔTE D'IVOIRE
CENTRE MEDICAL 8EME TRANCHE,"ANGRE, 8EME TRANCHE NON LOIN DE SICOMEX ET CASH IVOIRE",CÔTE D'IVOIRE
CENTRE MEDICAL ABOBO GARE,"ABOBO, PRES DE LA PHARMACIE LA ME",CÔTE D'IVOIRE
CENTRE MEDICAL ACHALME,"MARCORY RESIDENTIEL, 20 BVD ALCHALME EN FACE DE VIGASSISTANCE 1ER ETAGE",CÔTE D'IVOIRE
CENTRE MEDICAL AGNEBY-TIASSA,"AGBOVILLE,QUARTIER RESIDENTIEL NOUVEAU SUD FACE A LA GENDARMERIE",CÔTE D'IVOIRE
CENTRE MEDICAL ALIM,ANGRE PETRO IVOIRE A GAUCHE FACE LA PHCIE ST CHRISTOPHE,CÔTE D'IVOIRE
CENTRE MEDICAL ANNAELLE,ANGRE DJIBI DERRIERE GRANDE MOSQUEE,CÔTE D'IVOIRE
CENTRE MEDICAL ANNE-MATHIAS,"GRAND BASSAM, CARREFOUR BON GOUT",CÔTE D'IVOIRE
CENTRE MEDICAL ASSISTANCE MEDICO-TECHNIQUE,TANDA,CÔTE D'IVOIRE
CENTRE MEDICAL BASE AERIENNE D ABIDJAN,PORT BOUËT AU SEIN DE L AEROPORT FHB,CÔTE D'IVOIRE
CENTRE MEDICAL BETHEL,BOUAFLE QUARTIER DIOULABOUGOU ROUTE DU GRAND MARCHE,CÔTE D'IVOIRE
CENTRE MEDICAL BRAWE DIVINE GRACE,YOPOUGON 3E PONT NON LOIN DE LA GARE UTB,CÔTE D'IVOIRE
CENTRE MEDICAL CHARDY,"26 AVENUE CHARDY ,PLATEAU EN FACE DE L AIP A LA DESCENTE DE NOSTALGIE",CÔTE D'IVOIRE
CENTRE MEDICAL CHENAL,BVD ANGOULVANT EN FACE DU TRESOR DU PLATEAU,CÔTE D'IVOIRE
CENTRE MEDICAL CŒUR SACRE,COCODY CITE DES ARTS DERRIERE CASH,CÔTE D'IVOIRE
CENTRE MEDICAL CROZET,"EN FACE DU COLLEGE NOTRE DAME DU PLATEAU, IMM CROZET",CÔTE D'IVOIRE
CENTRE MEDICAL CURANTIS,"RIVIERA PALMERAIE GENIE 2000 NORD, BOULEVARD D EPHRATA",CÔTE D'IVOIRE
CENTRE MEDICAL DE PREVENTION,"A 100M DU STADE EN FACE DU RESTAURANT L ANCIEN COMBATTANT, RESIDENCE ALPHA TOUR A REZ DE CHAUSSEE",CÔTE D'IVOIRE
CENTRE MEDICAL DES ARTS,"RIVIERA GOLF, LES VERSANTS",CÔTE D'IVOIRE
CENTRE MEDICAL DES CITES,ANGRE CITE BLANCHE NON LOIN DE SAINT AMBROISE EN ALLANT VERS LA PH DES ALLEES,CÔTE D'IVOIRE
CENTRE MEDICAL DES LAGUNES,"KOUMASSI, QUARTIER SICOGI BVLD ANTANANARIVO",CÔTE D'IVOIRE
"CENTRE MEDICAL DU DIABETE, DES MALADIES CARDIO-VASCULAIRES","MARCORY, NON LOIN DE L INJS QUARTIER MARIE CORE",CÔTE D'IVOIRE
CENTRE MEDICAL DU ROND POINT,"TREICHVILLE, BOULEVARD DE MARSEILLE",CÔTE D'IVOIRE
CENTRE MEDICAL EDLONA,"PLATEAU PYRAMIDE, RUE PARIS VILLAGE, IMM TCHEGBAO 1ER ETAGE PORTE 13",CÔTE D'IVOIRE
CENTRE MEDICAL ELIANA,COCODY RIVIERA 2 EN FACE DE LA CITE UNIVERSITAIRE.,CÔTE D'IVOIRE
CLINIQUE MEDICALE ELITE,YOPOUGON AZITO,CÔTE D'IVOIRE
CENTRE MEDICAL EMERAUDE,PORT-BOUËT EN FACE DU CENTRE COMMERCIAL OCEAN A 150M DU 43EME BIMA,CÔTE D'IVOIRE
CENTRE MEDICAL ET DE DIAGNOSTIC SANS FRONTIERE,FACE PMI COCODY,CÔTE D'IVOIRE
CENTRE MEDICAL FIRDAOUSS,"QUARTIER THERESE,DERRIERE LE CHR,PRES HOTEL CAA",CÔTE D'IVOIRE
CENTRE MEDICAL HARMONY,"RIVIERA  NON LOIN DE L AMBASSADE DES USA,FACE AUX SERVICE TECHNIQUE DE LA MAIRIE DE COCODY",CÔTE D'IVOIRE
CENTRE MEDICAL HOFFMANN,ANGRE 7E TRANCHE VILLA 671,CÔTE D'IVOIRE
CENTRE MEDICAL HOMEA,"COCODY, RIVIERA ALLABRA",CÔTE D'IVOIRE
CENTRE MEDICAL HOPE DE BASSAM,"GRAND BASSAM, QUARTIER MOCKEYVILLE",CÔTE D'IVOIRE
CENTRE MEDICAL INTIMA,RIVIERA PALMERAIE ROND-POINT COLLEGE SAINT-VIATEUR,CÔTE D'IVOIRE
CENTRE MEDICAL LA MISERICORDE SARL,"KOUMASSI SICOGI GTI, EN FACE DU SERVICE TECHNIQUE DE LA MAIRIE DE KOUMASSI",CÔTE D'IVOIRE
CENTRE MEDICAL LA PROVIDENCE DE TONKPI,"MAN, QUARTIER MISTROT",CÔTE D'IVOIRE
CENTRE MEDICAL LA RETINE,RIVIERA BOMOUMIN PRES D ABIDJAN MALL,CÔTE D'IVOIRE
CENTRE MEDICAL LES ARCHANGES/YOP,"YOPOUGON ANANERAIE,ROUTE DE DABOU ( FACE A LA CITE NAWA )",CÔTE D'IVOIRE
CENTRE MEDICAL LES BLEUETS,RUE DES JARDINS AU VALLON FACE ST JOSEPH,CÔTE D'IVOIRE
CENTRE MEDICAL LES ROSIERS,"YOPOUGON, ROUTE ACADEMIE DES MERS",CÔTE D'IVOIRE
CENTRE MEDICAL LIRING,"KOUMASSI REMBLAIS, BVD DU CAMEROUN RESIDENCES LES ARCADES 1ER ETAGE",CÔTE D'IVOIRE
CENTRE MEDICAL LONGCHAMP,"AVENUE MARCHAND PLATEAU, RESIDENCE LONGCHAMPS",CÔTE D'IVOIRE
CENTRE MEDICAL MALON,PORT BOUËT NON LOIN DU 43E BIMA CARREFOUR MOSQUEE,CÔTE D'IVOIRE
CENTRE MEDICAL MAYA,II PLATEAUX VALLON NON LOIN DU TEMPLE DE FOOT,CÔTE D'IVOIRE
CENTRE MEDICAL MIENMOH SARL,"KORHOGO, QUARTIER LOGOKAHA RESIDENTIEL",CÔTE D'IVOIRE
CENTRE MEDICAL NOTRE DAME DE L ESPERANCE DE MAN,QUARTIER COMMERCE MAN NON LOIN DE LA PH MODERNE,CÔTE D'IVOIRE
CENTRE MEDICAL PEDIATRIQUE SOURIRE D ENFANCE,II PLATEAUX ENA,CÔTE D'IVOIRE
CENTRE MEDICAL PRIMA,"MARCORY ZONE  4, PRIMA CENTER",CÔTE D'IVOIRE
CENTRE MEDICAL PRIVE CONFESSIONNEL CMR3,RIVIERA ,CÔTE D'IVOIRE
CENTRE MEDICAL QUINZE - VINGT ABENGOUROU,"ABENGOUROU, ROND POINT CIE EN FACE DE LA BCEAO",CÔTE D'IVOIRE
CENTRE MEDICAL RIVIERA AMBASSADE,RIVIERA GOLF EN FACE DU LYCEE MAURICE DELAFOSSE,CÔTE D'IVOIRE
CENTRE MEDICAL SAINT JEAN / BONOUA,QUARTIER KOUMASSI-HABITAT ANCIENS LOCAUX CIE APRES LE COMPLEXE HOTELIER PARIS VILLAGE,CÔTE D'IVOIRE
CENTRE MEDICAL SAINT JEAN / TIEBISSOU,"TIEBISSOU, QUARTIER YVES FOFANA CITE",CÔTE D'IVOIRE
CENTRE MEDICAL SAINT JEAN MARIE-VIANNEY,"DIVO, DERRIERE LE RESTAURANT MONT SINAI
QUARTIER MILLIONNAIRE",CÔTE D'IVOIRE
CENTRE MEDICAL SAINT JOSEPH/PLATEAU,"PLATEAU ENTRE RUE DU COMMERCE ET AVENUE NOGUES,DERRIERE LA SOCIETE VIRUS",CÔTE D'IVOIRE
CENTRE MEDICAL SAINT LOUIS ORIONE,JUSTE DERRIERE L EGLISE CATHOLIQUE NOTRE DAME D ANYAMA,CÔTE D'IVOIRE
CENTRE MEDICAL SAINT PIERRE,"YOPOUGON, ZONE INDUSTRIELLE BEL AIR",CÔTE D'IVOIRE
CENTRE MEDICAL SAINT RAPHAEL DE HIRE,"HIRE, QUARTIER CENTRAL",CÔTE D'IVOIRE
CENTRE MEDICAL SAINT SAUVEUR,"TREICHVILLE AV 21, RUE 44 A 100M DE L EGLISE NOTRE DAME DE TREICHVILLE",CÔTE D'IVOIRE
